"ID","description","acceptance criteria"
"HU001","Como usuario Quiero poder crear múltiples chats, donde cada chat represente un proyecto independiente Para gestionar diferentes iniciativas sin mezclar su documentación.","El usuario puede crear un nuevo proyecto desde un botón “+”.; Cada proyecto crea automáticamente un chat independiente.; No existe límite en la cantidad de proyectos creados por usuario.; Cada proyecto almacena sus propias secciones: Contexto, Requerimientos, Work Items, Stack y Diagramas.; El proyecto queda persistido en base de datos."
"HU002","Como usuario Quiero visualizar mis proyectos previamente creados Para poder retomarlos y continuar su edición.","El sistema muestra una lista paginada de proyectos en una barra lateral.; Se visualiza nombre, fecha de creación y última modificación.; El usuario puede abrir cualquier proyecto desde la lista.; Solo se muestran proyectos del usuario autenticado."
"HU003","Como usuario Quiero editar cualquier sección de un proyecto Para ajustar la documentación generada por IA.","El usuario puede editar texto libremente dentro de cualquier sección.; Los cambios se guardan mediante botón “Guardar”.; Se registra fecha de última modificación."
"HU004","Como usuario Quiero solicitar la regeneración de una sección específica Para actualizar el contenido según nuevas aclaraciones.","El usuario puede seleccionar una sección y hacer clic en “Regenerar”.; El usuario puede escribir con lenguaje natural los cambios que se deben hacer a la sección entera.; Solo se regenera la sección seleccionada."
"HU005","Como usuario Quiero eliminar un proyecto existente Para mantener organizada mi lista de iniciativas.","El sistema solicita confirmación explícita.; Una vez eliminado, no aparece en la lista.; La eliminación pasa a papelera."
"HU006","Como usuario Quiero iniciar un proyecto con un prompt descriptivo Para que la IA genere la documentación base.","El sistema muestra un campo para la descripción inicial.; No permite continuar si está vacío.; La descripción se almacena como input inicial del proyecto."
"HU007","Como sistema Quiero solicitar información adicional cuando el prompt no sea suficientemente específico Para asegurar claridad antes de generar documentación.","El orquestador verifica que la descripción sea lo suficientemente clara.; Si no cumple, genera preguntas aclaratorias.; El usuario debe volver a ingresar una descripción mejorada del proyecto."
"HU008","Como usuario Quiero ver un resumen de entendimiento del proyecto antes de que se generen todas las secciones Para validar que la IA comprendió correctamente.","El sistema muestra la sección de “Contexto” generada por el orquestador.; El usuario puede aprobar o solicitar ajustes.; La generación completa solo inicia tras aprobación."
"HU009","Como usuario Quiero que el sistema genere automáticamente contexto, requerimientos, stack, work items y diagramas Para obtener una base integral del proyecto.","Se generan las siguientes secciones:; Contexto; Requerimientos funcionales y no funcionales; Elementos de trabajo; Stack tecnológico; Diagramas; Cada sección es generada por un agente especializado.; Las secciones aparecen progresivamente en pantalla como si la IA estuviera escribiendo.; Se muestra cuando la sección terminó de generarse y está lista para ser editada."
"HU010","Como administrador del sistema Quiero que exista un agente orquestador que coordine múltiples agentes en paralelo Para generar documentación de forma eficiente.","Existe un agente orquestador con mayor capacidad de razonamiento (parámetros).; Lanza 4 agentes especializados:; Stack; Requerimientos; Elementos de trabajo; Diagramas; La generación ocurre en paralelo para una menor espera.; Diseño de Funcionalidad:"
"HU011","Como usuario Quiero ver la generación en tiempo real Para reducir la percepción de espera.","El texto aparece progresivamente.; Cada agente muestra su progreso independientemente.; Existe indicador visual de generación activa."
