Id,type,description
RF-001,functional,El usuario puede crear múltiples proyectos independientes desde la barra lateral de la aplicación.
RF-002,functional,El usuario puede visualizar y acceder a sus proyectos previamente creados desde una lista paginada en la barra lateral.
RF-003,functional,El usuario puede editar libremente el contenido de cualquier sección de un proyecto.
RF-004,functional,El usuario puede solicitar la regeneración de una sección específica indicando los cambios deseados en lenguaje natural.
RF-005,functional,El usuario puede iniciar un proyecto proporcionando un prompt descriptivo inicial.
RF-006,functional,El sistema solicita preguntas de aclaración al usuario cuando el prompt inicial no es suficientemente específico para generar documentación.
RF-007,functional,El usuario puede revisar el resumen de contexto generado por el orquestador antes de aprobar la generación completa del proyecto.
RF-008,functional,El sistema genera automáticamente las secciones de contexto, requerimientos, stack tecnológico, hitos del proyecto y diagramas mediante agentes especializados.
RF-009,functional,Un agente orquestador coordina múltiples subagentes especializados en paralelo para generar la documentación del proyecto de forma eficiente.
RF-010,functional,La generación de contenido por parte de los agentes se transmite al usuario en tiempo real de forma progresiva (streaming).
RF-011,functional,La documentación generada por el sistema se alinea con los lineamientos técnicos e institucionales de Banorte.
RF-012,functional,Cada requerimiento generado cuenta con un ID único asignado automáticamente de forma consecutiva y no repetible.
RF-013,functional,El sistema valida las modificaciones al stack tecnológico propuesto contra las restricciones técnicas de Banorte y rechaza cambios que las violen.
RF-014,functional,El usuario puede proponer nuevos componentes al stack tecnológico sujeto a validación contra las políticas técnicas de Banorte.
RF-015,functional,"El sistema genera los hitos del proyecto (Hitos/Milestones) con los campos: id, título, descripción, fase, entregables, tareas, criterios de aceptación, riesgos y estimación de esfuerzo."
RF-016,functional,El usuario puede proponer nuevos hitos o modificar los hitos existentes del proyecto mediante lenguaje natural.
RF-017,functional,"El usuario puede interactuar con los diagramas generados: agregar nodos, editar nodos, realizar arrastrar y soltar, y generar múltiples diagramas."
RF-018,functional,El usuario puede iniciar sesión con sus credenciales institucionales mediante autenticación segura basada en JWT.
RF-019,functional,El usuario puede exportar la documentación del proyecto en formato PDF y DOCX.
RF-020,functional,El sistema gestiona el acceso colaborativo a proyectos mediante equipos y roles con permisos configurables (RBAC).
RF-021,functional,El frontend y el backend se comunican mediante una API REST separada; ambos están contenedorizados y desplegados en GCP.
